PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5''
Jarrett Allen,C,7.40%,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25''
Perry Jones,PF-SF,4.60%,9.25,9.5,6' 10.25'',6' 11.25'',8' 11'',233.8,7' 1.75''
Brian Cook,PF-SF,10.50%,-,-,6' 9.5'',,9' 1'',234,7' 2''
Theron Smith,PF-SF,9.30%,-,-,6' 6.5'',,8' 8.5'',234,6' 10.25''
Matt Freije,SF-PF,10.80%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',234,7' 1''
Blagota Sekulic,SF-PF,9.30%,-,-,6' 9.25'',6' 10.5'',8' 11'',234,6' 11''
LaMarcus Aldridge,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75''
Nik Caner-Medley,SF,9.60%,-,-,6' 6.5'',6' 8'',8' 7'',234,6' 9''
Kyle Hines,SF-PF,3.60%,-,-,6' 3.75'',6' 5.25'',8' 8.5'',234,7' 1.25''
Andrew Nicholson,PF,7.60%,10,10.75,6' 8.5'',6' 9.5'',8' 11'',234,7' 4''
Kelly Olynyk,PF-C,6.65%,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75''
Stephen Zimmerman,C,11.15%,9,9,6' 10.25'',6' 11.75'',9' 0.5'',234,7' 3.25''
Tyler Hansbrough,PF,8.50%,-,-,6' 8.25'',6' 9.5'',8' 10'',234.2,6' 11.5''
Dwight Powell,PF,6.20%,9,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5''
D.J. Wilson,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
Luke Walton,SF-PF,9.30%,-,-,6' 7.75'',,8' 8'',235,6' 8.5''
Rashad Jones-Jennings,PF,5.90%,-,-,6' 6'',6' 7.5'',8' 9.5'',235,7' 0''
DeVon Hardin,C-PF,5.80%,-,-,6' 9.5'',6' 10.75'',9' 1.5'',235,7' 3''
Eddy Fobbs,C-PF,-%,-,-,6' 10.25'',6' 11.25'',9' 3.5'',235.2,7' 6.75''
Talen Horton-Tucker,SG,8.40%,9.5,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25''
Draymond Green,PF-SF,11.30%,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
Trevor Booker,PF,7.30%,9,9.5,6' 6.25'',6' 7.5'',8' 10'',235.8,6' 9.75''
Trevor Mbakwe,PF,5.90%,9.5,11.5,6' 6.75'',6' 8'',8' 10.5'',235.8,7' 4''
Ron Slay,SF-PF,16.30%,-,-,6' 6'',,8' 7.5'',236,6' 10''
Andre Brown,PF-C,6.00%,-,-,6' 8'',6' 9.5'',8' 11'',236,6' 11''
Tedric Hill,SF-PF,7.30%,-,-,6' 7.75'',6' 9'',8' 11'',236,7' 1''
Coleman Collins,PF,6.20%,-,-,6' 8'',6' 9.75'',8' 11'',236,7' 2''
Cole Aldrich,C,8.50%,9,9.25,6' 9'',6' 11.25'',9' 3.5'',236,7' 4.75''
Jaren Jackson,PF-C,7.20%,10,10,6' 9.75'',6' 11.25'',9' 2'',236,7' 5.25''
Jontay Porter,C-PF,13.85%,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236,7' 0.25''
Jeff Adrien,PF,7.90%,-,-,6' 5.25'',6' 6.5'',8' 11.5'',236.2,7' 2''
Deji Akindele,C-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',236.4,7' 3''
Tony Mitchell,PF-SF,5.55%,9,10,6' 7.5'',6' 8.75'',8' 10.5'',236.4,7' 2.5''
Charlie Villanueva,PF-SF,-%,-,-,6' 9'',6' 9.5'',9' 1'',236.6,7' 0.25''
Jerome Beasley,SF-PF,9.90%,-,-,6' 9'',,8' 11'',237,7' 0.5''
Mouhamed Sene,C,6.60%,-,-,6' 11'',7' 0'',9' 5'',237,7' 8.5''
Antanas Kavaliauskas,PF,7.70%,-,-,6' 9'',6' 10.5'',8' 10.5'',237,6' 10.5''
John Riek,C,11.00%,-,-,6' 10.5'',7' 0'',,237,7' 8.75''
Bruno Fernando,C,5.40%,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25''
Deyonta Davis,PF,9.70%,9,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5''
Moses Brown,C,7.80%,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
Solomon Alabi,C,5.00%,9.25,9.25,6' 11.5'',7' 0.75'',9' 5'',237.4,7' 5''
Ekpe Udoh,PF,8.00%,9.5,8.75,6' 8.75'',6' 9.75'',8' 10.5'',237.4,7' 4.5''
Michael Dunigan,PF-C,8.00%,9,10.75,6' 8.5'',6' 10'',8' 11.5'',237.6,7' 3.25''
Rudy Gobert,C,4.40%,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5''
Daniel Gafford,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25''
Ronny Turiaf,PF,-%,-,-,6' 8'',6' 9.25'',8' 10.5'',237.8,7' 1.5''
Kris Humphries,PF,6.70%,-,-,6' 8.25'',6' 9.5'',8' 10.5'',238,7' 0.5''
Eric Hicks,PF,7.10%,-,-,6' 4.75'',6' 5.5'',8' 9.5'',238,7' 1.5''
Steven Smith,SF-PF,7.80%,-,-,6' 7.5'',6' 9.25'',8' 8'',238,7' 0.5''
Brad Buckman,PF,10.50%,-,-,6' 7.25'',6' 8.75'',8' 11.5'',238,7' 0''
Caleb Green,PF,10.90%,-,-,6' 6'',6' 8'',8' 7'',238,6' 11.75''
Jordan Mickey,PF,7.20%,8.75,9.5,6' 7'',6' 8.25'',8' 10'',238,7' 3.25''
Mason Plumlee,C-PF,6.15%,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11''
Johnathan Motley,PF,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
Adreian Payne,PF,7.55%,9.25,9.5,6' 9'',6' 9.75'',9' 1'',238.5,7' 4''
Myles Turner,C-PF,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4''
Jarell Martin,PF,10.10%,8.25,9.5,6' 8'',6' 9.25'',8' 10.5'',238.6,6' 9''
Cameron Oliver,PF,7.70%,9.5,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25''
LaQuinton Ross,SF,16.30%,8.75,9.75,6' 6.5'',6' 7.5'',8' 10'',238.7,7' 1.75''
Drago Pasalic,SF-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',238.8,6' 11.75''
Dewayne Dedmon,C,8.35%,9,11,6' 10'',6' 11.5'',9' 1'',238.8,7' 4''
Joel Cornette,PF-SF,12.90%,-,-,6' 8.25'',,8' 9.5'',239,6' 9.25''
Dylan Page,SF,12.30%,-,-,6' 7.5'',6' 8.75'',8' 9'',239,6' 7''
Michael Beasley,PF-SF,7.70%,-,-,6' 7'',6' 8.25'',8' 11'',239,7' 0.25''
Trey Thompkins,PF,15.50%,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239,7' 1''
Drew Gordon,PF,9.10%,8.5,9.75,6' 8'',6' 8.75'',8' 7.5'',239,6' 11.5''
Jakob Poeltl,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75''
Charles Bassey,C,8.50%,9.25,9.5,6' 8.75'',6' 10'',9' 1.5'',239,7' 3.5''
Cliff Alexander,PF-C,5.80%,9.5,10.25,6' 7.25'',6' 8.5'',9' 1.5'',239.2,7' 3.5''
David Padgett,C-PF,9.00%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',239.5,7' 1''
Jeff Ayres,PF,5.50%,-,-,6' 8.75'',6' 10'',8' 11'',239.6,7' 1''
Patrick Patterson,PF,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25''
Erik Murphy,PF,7.95%,8.75,9.75,6' 8.75'',6' 9.5'',9' 0'',239.8,6' 10.5''
Dwight Howard,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240,7' 4.5''
Nate Williams,PF-SF,12.40%,-,-,6' 8.5'',6' 10'',9' 1.5'',240,7' 1.5''
Hilton Armstrong,C-PF,6.30%,-,-,6' 9.5'',6' 10.25'',9' 1'',240,7' 4''
Mario Boggan,PF,9.20%,-,-,6' 5'',6' 7'',8' 11'',240,7' 2''
Craig Bradshaw,PF,12.10%,-,-,6' 8'',6' 9.75'',8' 10.5'',240,7' 1.5''
Josh McRoberts,PF,13.70%,-,-,6' 8'',6' 10'',8' 10.5'',240,7' 1''
Joseph Jones,PF,12.20%,-,-,6' 7'',6' 8.5'',8' 11'',240,7' 0.25''
Trent Plaisted,PF,11.00%,-,-,6' 9.25'',6' 10.25'',8' 9.5'',240,6' 10.5''
Luke Harangody,PF,11.10%,8.75,9.75,6' 6'',6' 7.75'',8' 10'',240.2,6' 9.5''
Grant Williams,PF,5.40%,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75''
Darnell Jackson,PF,12.50%,-,-,6' 7'',6' 7.75'',8' 10.5'',240.5,6' 11.25''
Admiral Schofield,SF,6.80%,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
Markieff Morris,PF,10.20%,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75''
Kyle O'Quinn,PF,8.00%,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Mike Scott,PF,10.60%,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75''
Marcus Melvin,SF-PF,10.50%,-,-,6' 6.75'',6' 8.5'',8' 9.5'',241,7' 0''
Michael Southhall,C,7.90%,-,-,6' 9.5'',6' 10.25'',8' 11.5'',241,7' 4.25''
Darryl Watkins,C,6.90%,-,-,6' 8.75'',6' 10.25'',9' 2'',241,7' 3''
JaVale McGee,C-PF,5.30%,-,-,6' 11'',7' 0'',9' 6.5'',241,7' 6''
Henry Sims,C-PF,7.70%,9.25,10,6' 10'',6' 11.75'',9' 0'',241.2,7' 4''
Jae Crowder,SF,9.00%,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
Jackie Carmichael,PF,5.80%,9,10.25,6' 7.5'',6' 9'',8' 11'',241.2,7' 1.5''
Trey Lyles,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5''
Semi Ojeleye,SF-SG,5.50%,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
Moritz Wagner,C-PF,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Luke Schenscher,C,-%,-,-,6' 11.75'',7' 1.5'',9' 3.5'',241.6,7' 5''
Jamie Skeen,PF,9.80%,8.5,8.5,6' 6.5'',6' 8'',8' 10.5'',241.6,7' 1.25''
Kenny Kadji,PF-C,7.45%,9,10.25,6' 8.75'',6' 10'',8' 10.5'',241.6,7' 3''
Rick Jackson,PF,8.30%,8.75,9.5,6' 8.25'',6' 9.25'',8' 10.5'',241.8,7' 2''
Brandon Davies,PF,8.60%,9,11,6' 8.5'',6' 10.25'',9' 0.5'',241.8,7' 1.5''
Stanley Johnson,SF,7.50%,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5''
Matt Bonner,PF-SF,13.60%,-,-,6' 8.5'',,8' 9.5'',242,6' 8.75''
Major Wingate,C,6.70%,-,-,6' 8.5'',6' 10.75'',9' 1'',242,7' 4''
Anthony Tolliver,PF,5.70%,-,-,6' 7'',6' 8.5'',8' 11.5'',242,7' 2.5''
Kyle Visser,C,10.20%,-,-,6' 10'',6' 11.5'',9' 0'',242,6' 11''
Henry Ellenson,PF,11.20%,8.5,9.75,6' 10'',6' 11.5'',9' 0'',242,7' 2.25''
Dwayne Jones,C-PF,-%,-,-,6' 8.5'',6' 10'',9' 0.5'',242.2,7' 2.75''
Shaun Pruitt,C-PF,13.80%,-,-,6' 8.25'',6' 9'',8' 11.5'',242.2,7' 1''
Jonathan Holmes,PF-SF,7.20%,8.25,9.5,6' 8.25'',6' 9.25'',8' 11.5'',242.2,6' 11.5''
D'Or Fischer,C-PF,-%,-,-,6' 9.25'',6' 10.5'',9' 2.5'',242.4,7' 6''
Willie Cauley-Stein,C,6.30%,9.5,9,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3''
Rakeem Christmas,PF-C,9.60%,9.25,9,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25''
Edrice Adebayo,PF-C,5.20%,9.5,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75''
Richaun Holmes,PF,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5''
Kyle Wiltjer,PF,15.25%,8.25,9.5,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25''
DaJuan Summers,SF,6.60%,-,-,6' 7.25'',6' 8.5'',8' 10.5'',243,7' 0.75''
Channing Frye,PF-C,-%,-,-,6' 9.5'',6' 10.5'',9' 2.5'',243.6,7' 2.5''
Damian Jones,C,6.55%,8.75,10.5,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75''
Sergei Lishouk,PF-SF,10.50%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',244,7' 0''
Spencer Hawes,PF,13.00%,-,-,6' 10'',7' 0.75'',9' 2'',244,7' 0.5''
Rashaun Freeman,PF,11.50%,-,-,6' 6'',6' 8'',8' 8'',244,6' 11.5''
Charles Rhodes,PF,10.70%,-,-,6' 7.25'',6' 8.25'',8' 11.5'',244,6' 11.25''
Jerome Jordan,C,6.90%,9,10.25,6' 11.5'',7' 0.75'',9' 5'',244.2,7' 5.25''
Thomas Robinson,PF,5.00%,9.75,10.5,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25''
Trevor Harvey,C-PF,10.50%,-,-,6' 9.5'',,9' 1.5'',245,7' 1''
LeBron James,SF-SG,6.70%,-,-,6' 7.25'',,8' 10.25'',245,7' 0.25''
Nigel Hayes,SF-PF,10.90%,8.5,9.5,6' 6.25'',6' 7.25'',8' 11.5'',245,7' 3''
Derrick Favors,PF,6.50%,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4''
Chinanu Onuaku,C,8.55%,9,8,6' 9'',6' 10'',9' 0.5'',245.2,7' 2.75''
Tyler Cook,PF,6.10%,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
Caleb Swanigan,PF,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3''
Uche Nsonwu-Amadi,PF-C,6.00%,-,-,6' 7.75'',,8' 10.5'',246,7' 3.75''
Stephane Pelle,PF-SF,12.40%,-,-,6' 7'',,8' 11'',246,7' 2''
Brandon Bass,PF,9.30%,-,-,6' 6.25'',6' 7.25'',8' 10.5'',246,7' 2.5''
Jared Reiner,C-PF,12.90%,-,-,6' 10'',6' 11.75'',9' 1'',246,7' 0.5''
Al Horford,PF,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246,7' 0.75''
Sagaba Konate,C,7.35%,9.25,10,6' 6.5'',6' 7.5'',8' 10.5'',246,7' 0''
Josh Heytvelt,PF-C,10.80%,-,-,6' 10'',6' 11'',9' 0'',246.2,7' 1.25''
Bobby Portis,PF,8.90%,9.5,9.25,6' 9.5'',6' 10.5'',9' 0.5'',246.2,7' 2''
Yante Maten,PF-C,8.10%,9.25,10,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5''
Greg Monroe,PF-C,11.20%,8.75,9.5,6' 9.75'',6' 11'',9' 0.5'',246.6,7' 2.25''
Caleb Swanigan,PF,12.55%,9,10.25,6' 7.5'',6' 8.5'',8' 11'',246.6,7' 3.5''
Patric Young,PF,5.45%,9.25,9.5,6' 8.5'',6' 10'',8' 7.5'',246.8,7' 1.75''
Jaime Lloreda,PF,9.90%,-,-,6' 6.75'',6' 8.5'',8' 11'',247,6' 9.5''
Torin Francis,PF-C,12.40%,-,-,6' 9'',6' 10'',8' 9.5'',247,7' 1''
Sasha Kaun,C-PF,9.60%,-,-,6' 9'',6' 10.75'',9' 2'',247,7' 4''
Noah Vonleh,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25''
Jordan Williams,PF,12.10%,9.25,10,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25''
Tyler Zeller,PF-C,6.40%,9,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0''
Thomas Bryant,PF-C,9.40%,9.5,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
Ryan Gomes,SF-PF,-%,-,-,6' 6.5'',6' 7.75'',8' 10.5'',248,7' 2''
Carl Landry,PF,7.50%,-,-,6' 7'',6' 8.5'',8' 6.5'',248,6' 11''
Jared Homan,C-PF,-%,-,-,6' 7.75'',6' 8.75'',8' 8.5'',248.2,7' 1.25''
Blake Griffin,PF,8.20%,-,-,6' 8.5'',6' 10'',8' 9'',248.4,6' 11.25''
Derrick Williams,PF-SF,10.80%,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5''
Omer Yurtseven,C,7.60%,9,10.5,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1''
Tony Bradley,C,12.00%,9.5,9.5,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5''
Patrick O'Bryant,C,10.00%,-,-,6' 11'',7' 0'',9' 5'',249,7' 5.75''
Ali Traore,C-PF,12.10%,-,-,6' 8.75'',6' 9.75'',9' 0.5'',249,7' 4''
Jason Klotz,C-PF,-%,-,-,6' 8.5'',6' 9.75'',8' 11.5'',249.4,6' 10''
Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5''
Richard Howell,PF,8.75%,8.75,9.5,6' 6.25'',6' 7.5'',8' 9.5'',249.6,6' 10.25''
Julius Randle,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
Meyers Leonard,C,5.70%,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Darko Milicic,PF,8.00%,-,-,6' 11.5'',,9' 3.5'',250,7' 5''
Kenny Adeleke,PF-C,10.50%,-,-,6' 6.5'',6' 7.75'',8' 8'',250,6' 10.25''
Ryvon Covile,C-PF,8.00%,-,-,6' 7'',6' 8.5'',8' 11.5'',250,7' 1.25''
DeAndre Jordan,C,7.50%,-,-,6' 9.75'',6' 11'',9' 5.5'',250,7' 6''
Richard Hendrix,PF,9.20%,-,-,6' 6.75'',6' 8.75'',9' 0'',250,7' 3''
Brandon McCoy,C,8.70%,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2''
Andrew Bogut,C-PF,-%,-,-,6' 11'',7' 0.25'',9' 2.5'',250.6,7' 3''
Reggie Perry,SF-PF,6.70%,9,10,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5''
Paul Miller,PF-C,13.80%,-,-,6' 8.5'',6' 9.25'',8' 5.5'',251,7' 0''
Kevin Jones,PF,11.20%,9,7.75,6' 6.25'',6' 7.5'',8' 9'',251.2,7' 1.5''
Wendell Carter,C-PF,7.85%,8.5,9,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5''
Chris Kaman,C-PF,16.30%,-,-,6' 11.5'',,9' 2.5'',252,6' 11.75''
Chris Richard,PF,7.50%,-,-,6' 7'',6' 8.75'',9' 2.5'',252,7' 4.5''
Takais Brown,PF,9.20%,-,-,6' 7.25'',6' 8.5'',8' 10'',252,6' 10''
Terrence Jones,PF-SF,7.70%,9,10,6' 8.25'',6' 9.5'',8' 11'',252,7' 2.25''
Alex Kirk,PF,13.60%,9.25,10.5,6' 9.25'',6' 10.75'',9' 1.5'',252,7' 3.5''
Ike Anigbogu,C,5.40%,9.5,10,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25''
Taylor Coppenrath,PF-SF,-%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',252.4,6' 11.5''
Miles Plumlee,PF-C,11.40%,9.25,9,6' 10.5'',6' 11.75'',8' 9.5'',252.4,7' 0.75''
Cameron Bairstow,PF,8.70%,8.75,9,6' 8.75'',6' 9.75'',8' 11'',252.4,7' 0.75''
Gregory Smith,PF-C,7.40%,9.75,12,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5''
Aleksander Djuric,C-PF,16.30%,-,-,6' 10'',,9' 0'',253,7' 0''
Terence Dials,PF-C,15.80%,-,-,6' 7.75'',6' 9'',8' 10'',253,7' 0''
Montrezl Harrell,PF,11.90%,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25''
Omari Spellman,PF-C,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
Robert Jackson,PF-C,15.90%,-,-,6' 7.75'',,8' 11.5'',254,7' 0''
Thomas Welsh,PF-C,10.90%,9,10.5,6' 11.5'',7' 0.5'',9' 1.5'',254,7' 0''
Jordan Bachynski,PF,7.45%,9.25,10,7' 1.25'',7' 2'',9' 0.5'',254.1,7' 4''
Nigel Hayes,PF,11.50%,8.75,10,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25''
Diamond Stone,C,12.85%,8.5,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75''
Eric Paschall,SF,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
Steven Adams,C,6.65%,9.5,11,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5''
Nick Collison,PF,17.00%,-,-,6' 8.75'',,9' 0'',255,7' 1.5''
Ales Chan,C,14.80%,-,-,7' 0'',7' 2'',9' 5'',255,7' 3''
Kevin Love,PF,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25''
Fab Melo,C,9.20%,9,10,6' 10.75'',7' 0'',9' 2'',255,7' 2.5''
Ellis Myles,PF,-%,-,-,6' 6'',6' 7.25'',8' 9.5'',255.2,6' 9.75''
Ike Diogu,PF,-%,-,-,6' 6.5'',6' 8'',9' 1'',255.4,7' 3.5''
Wayne Simien,PF,-%,-,-,6' 7.25'',6' 9'',8' 11'',255.8,7' 0''
Naz Reid,PF,14.00%,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
Chris Daniels,C-PF,16.10%,-,-,6' 8.25'',6' 9.5'',9' 1'',256,7' 0.5''
Mfiondu Kabengele,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
Johnny O?Bryant III,PF,10.75%,9.25,9.5,6' 7.25'',6' 8.5'',8' 9'',256.8,7' 2.25''
Marquis Estill,PF-C,11.70%,-,-,6' 8.5'',,9' 0'',257,7' 4''
Wesley Wilson,C-PF,12.40%,-,-,6' 10.25'',,9' 2.5'',257,7' 3''
Aloysius Anagonye,PF,10.50%,-,-,6' 6.75'',,8' 10'',257,7' 2.5''
Emeka Okafor,C-PF,5.30%,-,-,6' 8.75'',6' 10'',9' 2.5'',257,7' 4''
Greg Oden,C,7.80%,-,-,6' 11'',7' 0'',9' 4'',257,7' 4.25''
James Johnson,SF-PF,12.00%,-,-,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75''
Jason Maxiell,PF,-%,-,-,6' 5'',6' 6.25'',8' 11'',257.6,7' 3.25''
Will McDonald,C-PF,13.60%,-,-,6' 9.5'',,9' 1.5'',258,7' 3.5''
Yemi Nicholson,PF-C,17.20%,-,-,6' 7.75'',6' 9.5'',8' 11'',258,7' 4.25''
Shelden Williams,PF-C,11.40%,-,-,6' 7.5'',6' 8.5'',8' 8'',258,7' 4.25''
Paul Millsap,PF,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5''
Brook Lopez,C,6.30%,-,-,6' 11.25'',7' 0.5'',9' 5'',258,7' 5.5''
Vladimir Golubovic,C,6.90%,-,-,6' 11.25'',7' 0.25'',9' 3.5'',258,7' 2.5''
Byron Mullens,C,8.50%,-,-,6' 11.75'',7' 1.25'',9' 3'',258.2,7' 1.5''
Robert Upshaw,C,12.50%,10,11,6' 10.75'',7' 0'',9' 5'',258.2,7' 5.5''
David Simon,C-PF,-%,-,-,6' 8'',6' 9.5'',9' 0'',258.8,7' 3.5''
Sean May,PF,-%,-,-,6' 7'',6' 8.5'',8' 9'',258.8,7' 1.25''
Chris Massie,PF-C,14.80%,-,-,6' 6.5'',,8' 10.5'',259,7' 1''
Craig Smith,PF,12.20%,-,-,6' 5.5'',6' 6.5'',8' 7.5'',259,6' 9.5''
Kevin Pittsnogle,PF,-%,-,-,6' 9.25'',6' 10.25'',8' 10'',259.2,6' 10.5''
Enes Kanter,PF-C,5.90%,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5''
Nikola Vucevic,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5''
Chris Garnett,C-PF,14.80%,-,-,6' 8.25'',6' 9.75'',9' 0'',260,7' 1''
Royce White,PF,10.60%,9.5,11.5,6' 7'',6' 8'',8' 8.5'',260.6,7' 0''
Marvin Stone,C-PF,17.40%,-,-,6' 9.5'',,9' 1.5'',261,7' 3.5''
Sam Hoskin,PF,-%,-,-,6' 7.25'',,8' 11.5'',261,6' 10.75''
Chris Taft,PF,-%,-,-,6' 8.5'',6' 9.5'',9' 1'',261,7' 1.75''
Alan Williams,PF,12.00%,8.5,9.5,6' 7.25'',6' 8.25'',8' 10.5'',261.4,7' 1.75''
Michael Sweetney,PF,14.10%,-,-,6' 7.25'',,8' 11.5'',262,7' 1''
Arthur Johnson,PF-C,16.30%,-,-,6' 7'',6' 8.5'',9' 1'',262,7' 3''
Jeremy Tyler,PF-C,13.40%,9.25,9,6' 9'',6' 10.5'',9' 2.5'',262.4,7' 5''
Colton Iverson,C,9.60%,9.25,9.5,6' 10.5'',7' 0'',9' 2'',262.8,7' 2''
Jarnell Stokes,PF,8.20%,9.75,10.5,6' 7'',6' 8.5'',8' 7.5'',262.8,7' 1.25''
Al Jefferson,PF-SF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263,7' 2.5''
Jackie Butler,C,16.30%,-,-,6' 8'',6' 9.5'',9' 1'',263,7' 1.5''
John Edwards,C,14.10%,-,-,6' 11.25'',7' 1'',9' 5'',264,7' 4.5''
Festus Ezeli,C-PF,5.50%,9,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75''
Dakari Johnson,C,14.90%,9.25,10.5,6' 11'',6' 11.75'',9' 4'',264.6,7' 2''
J.P. Batista,PF,12.00%,-,-,6' 7.5'',6' 8.5'',8' 7.5'',265,6' 10''
Joey Dorsey,PF-C,9.00%,-,-,6' 6.25'',6' 7.25'',8' 11'',265,7' 1.75''
Brandon Hunter,PF,8.00%,-,-,6' 6.5'',,8' 9.5'',266,7' 2.75''
Peter Ramos,C,6.70%,-,-,7' 1.75'',7' 3.25'',9' 3.5'',266,7' 5.5''
Marco Killingsworth,PF,19.00%,-,-,6' 5.5'',6' 6.75'',8' 8'',266,7' 3''
Ian Vouyoukas,C-PF,14.80%,-,-,6' 8.5'',6' 9.5'',9' 0.5'',267,7' 0.75''
